Brand,Model,Specifications
Ericsson,GH 218,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '1994', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '130 x 49 x 36 mm (5.12 x 1.93 x 1.42 in)', 'Weight': 'Mini-SIM'}}, {'Display': {'Type': 'Alphanumeric', 'Size': '1 line', 'Resolution': 'Fixed icons'}}, {'Memory': {'Card slot': 'No'}}, {'Camera': {}}, {'Sound': {'Loudspeaker': 'No', 'Alert types': 'Monophonic ringtones', '3.5mm jack': 'No'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': 'No', 'GPS': 'No', 'Radio': 'No'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No', 'Browser': 'No', 'Clock': 'No', 'Alarm': 'No'}}, {'Battery': {'Stand-by': 'Removable NiMH battery', 'Talk time': '47 h'}}, {'Misc': {}}]"
Dell,Mini 3iX,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2009, November. Released 2009, December', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '120 x 59.9 x 11.7 mm (4.72 x 2.36 x 0.46 in)', 'Weight': '108 g (3.81 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'TFT capacitive touchscreen, 256K colors', 'Size': '3.5 inches, 33.8 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 1.5 (Cupcake)'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot), 2 GB included', 'Internal': '256MB'}}, {'Main Camera': {'Single': '3.15 MP, AF', 'Features': 'LED flash', 'Video': 'Yes'}}, {'Selfie camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'No'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g', 'Bluetooth': '2.1, A2DP', 'GPS': 'Yes, with A-GPS', 'Radio': 'No', 'USB': 'miniUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity', 'Browser': 'HTML'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1000 mAh battery', 'Talk time': 'Up to 400 h'}}, {'Misc': {'Colors': 'Oiled Bronze and Ocean Blue', 'Price': 'About 230 EUR'}}]"
Dell,Mini 3i,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '2009, November. Released 2009, December', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '122 x 58.4 x 11.7 mm (4.80 x 2.30 x 0.46 in)', 'Weight': '102 g (3.60 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'TFT capacitive touchscreen, 256K colors', 'Size': '3.5 inches, 33.8 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'OPhone OS'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot), 4 GB included', 'Internal': '256MB'}}, {'Main Camera': {'Single': '3.15 MP, AF', 'Video': 'Yes'}}, {'Selfie camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'No'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': '2.0, A2DP', 'GPS': 'Yes, with A-GPS', 'Radio': 'No', 'USB': 'miniUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity', 'Browser': 'HTML'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1000 mAh battery', 'Talk time': 'Up to 423 h'}}, {'Misc': {'Colors': 'Passion Red, Oiled Bronze', 'Price': 'About 230 EUR'}}]"
Dell,Aero,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2010, March. Released 2010, August', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '122 x 57.9 x 11.7 mm, 68.6 cc (4.80 x 2.28 x 0.46 in)', 'Weight': '104 g (3.67 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'TFT capacitive touchscreen, 256K colors', 'Size': '3.5 inches, 33.8 cm', 'Resolution': '2', 'Protection': ' (~47.8% screen-to-body ratio)'}}, {'Platform': {'OS': 'Android 1.5 (Cupcake)', 'CPU': 'Marvell PXA310 624 MHz'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot), 2 GB included'}}, {'Main Camera': {'Single': '5 MP, AF', 'Features': 'LED flash', 'Video': 'CIF@30fps'}}, {'Selfie camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'No'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g', 'Bluetooth': '2.0, A2DP', 'GPS': 'Yes, with A-GPS', 'Radio': 'No', 'USB': 'miniUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity', 'Browser': 'HTML, Adobe Flash Lite'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1000 mAh battery', 'Talk time': 'Up to 400 h'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 230 EUR'}}]"
Cat,B15,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2013. Released 2013', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in)', 'Weight': '170 g (6.00 oz)', 'SIM': 'Dual SIM'}}, {'Display': {'Type': 'TFT capacitive touchscreen, 16M colors', 'Size': '4.0 inches, 45.5 cm', 'Resolution': '2', 'Protection': ' (~52.4% screen-to-body ratio)'}}, {'Platform': {'OS': 'Android 4.1 (Jelly Bean)', 'Chipset': 'Mediatek MT6577 (40 nm)', 'CPU': 'Dual-core 1.0 GHz Cortex-A9', 'GPU': 'PowerVR SGX531'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Internal': '4GB 512MB RAM'}}, {'Main Camera': {'Single': '5 MP, AF', 'Video': '1080p@30fps'}}, {'Selfie camera': {'Single': 'VGA'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n, hotspot', 'Bluetooth': '3.0, A2DP', 'GPS': 'Yes, with A-GPS', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity'}}, {'Battery': {'Stand-by': 'Non-removable Li-Ion 2000 mAh battery', 'Talk time': 'Up to 456 h'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 250 EUR'}}]"
Cat,S50,"[{'Network': {'Technology': 'GSM / HSPA / LTE'}}, {'Launch': {'Announced': '2014, September', 'Status': 'Available. Released 2014, November'}}, {'Body': {'Dimensions': '144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in)', 'Weight': '185 g (6.53 oz)', 'SIM': 'Micro-SIM'}}, {'Display': {'Type': 'IPS LCD capacitive touchscreen, 16M colors', 'Size': '4.7 inches, 60.9 cm', 'Resolution': '2', 'Protection': ' (~54.7% screen-to-body ratio)'}}, {'Platform': {'OS': 'Android 4.4 (KitKat)', 'Chipset': 'Qualcomm MSM8926 Snapdragon 400 (28 nm)', 'CPU': 'Quadcore 1.2 GHz Cortex-A7', 'GPU': 'Adreno 305'}}, {'Memory': {'Card slot': 'microSDXC (dedicated slot)', 'Internal': '8GB 2GB RAM'}}, {'Main Camera': {'Single': '8 MP, AF', 'Features': 'LED flash', 'Video': '1080p@30fps'}}, {'Selfie camera': {'Single': 'VGA'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n, hotspot', 'Bluetooth': '4.0, A2DP, LE', 'GPS': 'Yes, with A-GPS, GLONASS', 'NFC': 'Yes', 'Radio': 'FM radio', 'USB': 'microUSB 2.0, USB On-The-Go'}}, {'Features': {'Sensors': 'Accelerometer, proximity, compass'}}, {'Battery': {'Charging': 'Non-removable Li-Ion 2630 mAh battery', 'Stand-by': 'Qi wireless charging', 'Talk time': 'Up to 792 h'}}, {'Misc': {'Colors': 'Forest, Slate', 'Price': 'About 460 EUR'}}]"
Cat,B25,"[{'Network': {'Technology': 'GSM'}}, {'Launch': {'Announced': '2013. Released 2013', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '125 x 57 x 22 mm (4.92 x 2.24 x 0.87 in)', 'Weight': '161 g (5.68 oz)', 'SIM': 'Dual SIM'}}, {'Display': {'Type': 'TFT', 'Size': '2.0 inches, 12.4 cm', 'Resolution': '2'}}, {'Platform': {'Chipset': 'Mediatek MT6235', 'CPU': '208 MHz'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Phonebook': 'Yes', 'Call records': 'Yes'}}, {'Main Camera': {'Single': '2 MP, AF', 'Video': 'Yes'}}, {'Selfie camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': '2.1', 'GPS': 'No', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1300 mAh battery', 'Talk time': 'Up to 156 h'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 140 EUR'}}]"
Cat,B100,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2013. Released 2013', 'Status': 'Discontinued'}}, {'Body': {'Dimensions': '123 x 56 x 17.5 mm (4.84 x 2.20 x 0.69 in)', 'Weight': '136 g (4.80 oz)', 'SIM': 'Mini-SIM'}}, {'Display': {'Type': 'TFT', 'Size': '2.2 inches, 15.0 cm', 'Resolution': '2'}}, {'Platform': {'Chipset': 'Mediatek MT6276W', 'CPU': '411 MHz', 'GPU': 'No'}}, {'Memory': {'Card slot': 'microSDHC (dedicated slot)', 'Phonebook': 'Yes', 'Call records': 'Yes', 'Internal': '128MB ROM, 64MB RAM'}}, {'Main Camera': {'Single': '3.15 MP', 'Video': '320p@30fps'}}, {'Selfie camera': {}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'No', 'Bluetooth': '2.0, A2DP, EDR', 'GPS': 'Yes, with A-GPS', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'SMS', 'Messaging': 'No', 'Games': 'MP3/AAC+/MP4/H.264 player', 'Java': '\r\nPhoto viewer'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 1150 mAh battery', 'Talk time': 'Up to 552 h'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 140 EUR'}}]"
ZTE,Blade A5 (2019),"[{'Network': {'Technology': 'GSM / HSPA / LTE'}}, {'Launch': {'Announced': '2019, May', 'Status': 'Available. Released 2019, May'}}, {'Body': {'Dimensions': '145.8 x 70 x 9.6 mm (5.74 x 2.76 x 0.38 in)', 'Weight': '157 g (5.54 oz)', 'Build': 'Glass front, plastic back, plastic frame', 'SIM': 'Dual SIM (Nano-SIM, dual stand-by)'}}, {'Display': {'Type': 'IPS LCD capacitive touchscreen, 16M colors', 'Size': '5.45 inches, 76.7 cm', 'Resolution': '2'}}, {'Platform': {'OS': 'Android 9.0 (Pie)', 'Chipset': 'Unisoc SC9863A (28nm)', 'CPU': 'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)', 'GPU': 'IMG8322'}}, {'Memory': {'Card slot': 'microSDXC (dedicated slot)', 'Internal': '16GB 2GB RAM'}}, {'Main Camera': {'Single': '13 MP, f/2.0, AF', 'Features': 'LED flash, HDR', 'Video': '1080p@30fps'}}, {'Selfie camera': {'Single': '8 MP, f/2.4'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot', 'Bluetooth': '4.2, A2DP, LE', 'GPS': 'Yes, with A-GPS, GLONASS', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity'}}, {'Battery': {}}, {'Misc': {'Colors': 'Black, Blue', 'Price': 'About 80 EUR'}}]"
Cat,B15 Q,"[{'Network': {'Technology': 'GSM / HSPA'}}, {'Launch': {'Announced': '2014, Q2', 'Status': 'Available. Released 2014, June'}}, {'Body': {'Dimensions': '125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in)', 'Weight': '170 g (6.00 oz)', 'SIM': 'Dual SIM (Mini-SIM, dual stand-by)'}}, {'Display': {'Type': 'TFT capacitive touchscreen, 16M colors', 'Size': '4.0 inches, 45.5 cm', 'Resolution': '2', 'Protection': ' (~52.4% screen-to-body ratio)'}}, {'Platform': {'OS': 'Android 4.4.2 (KitKat)', 'Chipset': 'Mediatek MT6582M (28 nm)', 'CPU': 'Quad-core 1.3 GHz Cortex-A7', 'GPU': 'Mali-400MP2'}}, {'Memory': {'Card slot': 'microSDHC', 'Internal': '4GB 1GB RAM'}}, {'Main Camera': {'Single': '5 MP, AF', 'Features': 'LED flash', 'Video': '1080p@30fps'}}, {'Selfie camera': {'Single': 'VGA'}}, {'Sound': {'Loudspeaker': 'Yes', '3.5mm jack': 'Yes'}}, {'Comms': {'WLAN': 'Wi-Fi 802.11 b/g/n, hotspot', 'Bluetooth': '4.0, A2DP, LE', 'GPS': 'Yes, with A-GPS', 'Radio': 'FM radio', 'USB': 'microUSB 2.0'}}, {'Features': {'Sensors': 'Accelerometer, proximity'}}, {'Battery': {'Stand-by': 'Removable Li-Ion 2000 mAh battery', 'Talk time': 'Up to 504 h'}}, {'Misc': {'Colors': 'Black', 'Price': 'About 320 EUR'}}]"
